Zero-Day,Backbone,Method,ID Acc,AUROC,FPR95,F1,Precision,Model
WebBased,MLP,Mahalanobis,0.9707227079489853,0.8802357489828192,0.3449105638886661,0.3328752481294854,0.19967026928008794,MLP + Mahalanobis
WebBased,MLP,MLS,0.9707227079489853,0.8934129220407933,0.3822892436031122,0.3558744394618834,0.22118171683389073,MLP + MLS
WebBased,MLP,Energy,0.9707227079489853,0.8941654775947953,0.38116627897649796,0.372564302416212,0.23651657595249875,MLP + Energy
WebBased,MLP,ViM,0.9707227079489853,0.867969347333842,0.3756316676024705,0.41192411924119243,0.2732174955062912,MLP + ViM
WebBased,RandomForest,MSP,0.9865244244806288,0.9191179208523346,1.0,0.4461437622897094,0.2928018353885862,RandomForest + MSP
WebBased,RandomForest,Entropy,0.9865244244806288,0.9208466682316545,1.0,0.4461437622897094,0.2928018353885862,RandomForest + Entropy
WebBased,XGBoost,MSP,0.988369294938638,0.9233717564829866,0.36825218577043395,0.5200809014735625,0.3795866722901729,XGBoost + MSP
WebBased,XGBoost,Entropy,0.988369294938638,0.9247596038863701,0.36191545680596776,0.5177548682703322,0.37635303913405493,XGBoost + Entropy
WebBased,IsolationForest,AnomalyScore,,0.8128241309350263,0.46282184968316353,0.34485436893203886,0.2187192118226601,IsolationForest + AnomalyScore
WebBased,OneClassSVM,AnomalyScore,,0.5020518020785885,0.9723269431298628,0.2643587726199843,0.23140495867768596,OneClassSVM + AnomalyScore
Spoofing,MLP,Mahalanobis,0.9462663320931037,0.832835337890456,0.3159124340226702,0.6671210701201329,0.5060100814269096,MLP + Mahalanobis
Spoofing,MLP,MLS,0.9462663320931037,0.6024856580427447,0.9675521329064636,0.47240773286467486,0.7952662721893491,MLP + MLS
Spoofing,MLP,Energy,0.9462663320931037,0.6040406247296011,0.9675521329064636,0.4927726675427069,0.7183908045977011,MLP + Energy
Spoofing,MLP,ViM,0.9462663320931037,0.7948569265380289,0.49909145972138097,0.6103221337028056,0.567045698347994,MLP + ViM
Spoofing,RandomForest,MSP,0.9917798736696375,0.8623796508609503,1.0,0.697300638780136,0.5930599369085173,RandomForest + MSP
Spoofing,RandomForest,Entropy,0.9917798736696375,0.8638901207060656,1.0,0.697300638780136,0.5930599369085173,RandomForest + Entropy
Spoofing,XGBoost,MSP,0.9932508436445444,0.8992029505927145,0.24314268408756598,0.7278161778441994,0.5809722636444975,XGBoost + MSP
Spoofing,XGBoost,Entropy,0.9932508436445444,0.9003031496062992,0.24080643765683135,0.7294183759483001,0.5831960461285008,XGBoost + Entropy
Spoofing,IsolationForest,AnomalyScore,,0.6761160227567707,0.5463355542095699,0.5403339937729975,0.3768258981444927,IsolationForest + AnomalyScore
Spoofing,OneClassSVM,AnomalyScore,,0.5098878818032362,0.9510253526001557,0.4164559096273816,0.6395649922320041,OneClassSVM + AnomalyScore
Recon,MLP,Mahalanobis,0.9660811629315567,0.8001007181794583,0.5047157566842606,0.6135624709707385,0.5728534258456202,MLP + Mahalanobis
Recon,MLP,MLS,0.9660811629315567,0.6779129748204551,0.6067318508263391,0.5178967161372641,0.3540538058947755,MLP + MLS
Recon,MLP,Energy,0.9660811629315567,0.6759607272648611,0.6067318508263391,0.5178967161372641,0.3540538058947755,MLP + Energy
Recon,MLP,ViM,0.9660811629315567,0.7975118867353119,0.5391537596262006,0.5867540178114443,0.4967932050615358,MLP + ViM
Recon,RandomForest,MSP,0.9862421043523406,0.9387196179804448,0.1361079865016873,0.8505825908156271,0.7831299957930165,RandomForest + MSP
Recon,RandomForest,Entropy,0.9862421043523406,0.9438675910703469,0.13005105131089384,0.8581592839109478,0.7931692829868476,RandomForest + Entropy
Recon,XGBoost,MSP,0.9886648784286579,0.862677727784027,0.45392402872717835,0.6863049095607234,0.5850220264317181,XGBoost + MSP
Recon,XGBoost,Entropy,0.9886648784286579,0.8622944535779182,0.4541836116639266,0.6844545173586072,0.5820921675135798,XGBoost + Entropy
Recon,IsolationForest,AnomalyScore,,0.6871077269187504,0.7588474517608376,0.5648302726766833,0.4489826010026541,IsolationForest + AnomalyScore
Recon,OneClassSVM,AnomalyScore,,0.7053303625508349,0.8098987626546682,0.552963338646573,0.6577042399172699,OneClassSVM + AnomalyScore
Mirai,MLP,Mahalanobis,0.9189235960889505,0.8781889331141299,0.1241671714112659,0.8430710820502003,0.7291134622400584,MLP + Mahalanobis
Mirai,MLP,MLS,0.9189235960889505,0.009310417928528157,0.9984425023795103,0.4094165813715456,0.2574002574002574,MLP + MLS
Mirai,MLP,Energy,0.9189235960889505,0.009345829367482902,0.9984425023795103,0.4094165813715456,0.2574002574002574,MLP + Energy
Mirai,MLP,ViM,0.9189235960889505,0.6881746560526089,0.3203253439473912,0.6685388477576376,0.5067733195716682,MLP + ViM
Mirai,RandomForest,MSP,0.9821753050099506,0.9452720429177122,0.06688587003547633,0.9029488193424472,0.8237476808905381,RandomForest + MSP
Mirai,RandomForest,Entropy,0.9821753050099506,0.9556117071904472,0.05831963312278273,0.9128943758573387,0.8409856781802865,RandomForest + Entropy
Mirai,XGBoost,MSP,0.9846846067318509,0.6447437700095181,0.5477199965388941,0.5541740674955595,0.3936080740117746,XGBoost + MSP
Mirai,XGBoost,Entropy,0.9846846067318509,0.6459062256640997,0.5433070866141733,0.5551585529254132,0.3952724189103244,XGBoost + Entropy
Mirai,IsolationForest,AnomalyScore,,0.8347035346543221,0.16760404949381327,0.7905209479052094,0.6587235460756541,IsolationForest + AnomalyScore
Mirai,OneClassSVM,AnomalyScore,,0.5093834905252228,0.49675521329064637,0.5700650759219089,0.40101729399796543,OneClassSVM + AnomalyScore
Dos,MLP,Mahalanobis,0.9377866228259929,0.6832623301894956,0.46551873323526866,0.5974297668858338,0.42604433077578857,MLP + Mahalanobis
Dos,MLP,MLS,0.9377866228259929,0.5717023989789739,0.5336159903089037,0.5606166783461808,0.3894839337877313,MLP + MLS
Dos,MLP,Energy,0.9377866228259929,0.5728360950073548,0.5334429350177382,0.5606952621250351,0.38955979742890534,MLP + Energy
Dos,MLP,ViM,0.9377866228259929,0.6445429826079433,0.5637276109717054,0.548725017229497,0.37878211227402475,MLP + ViM
Dos,RandomForest,MSP,0.9813965561997058,0.9644573526866833,0.04335035043696461,0.9289334119033588,0.8787068004459309,RandomForest + MSP
Dos,RandomForest,Entropy,0.9813965561997058,0.9615246279311239,0.057713939603703385,0.9110032362459547,0.8471625107480654,RandomForest + Entropy
Dos,XGBoost,MSP,0.9854633555420957,0.9125145150125465,0.11637968330881716,0.8405703870483543,0.735873850197109,XGBoost + MSP
Dos,XGBoost,Entropy,0.9854633555420957,0.9142418015055812,0.11317816042225491,0.8454565076624218,0.7438283327003418,XGBoost + Entropy
Dos,IsolationForest,AnomalyScore,,0.6022552781863806,0.5346543220558969,0.5637081981092141,0.39266758403774327,IsolationForest + AnomalyScore
Dos,OneClassSVM,AnomalyScore,,0.3440754521069482,0.8028900233624643,0.45841971895876527,0.2978150254414846,OneClassSVM + AnomalyScore
DDos,MLP,Mahalanobis,0.9385653716362378,0.9665727048542009,0.03322661590378126,0.9515418502202644,0.9083882700613776,MLP + Mahalanobis
DDos,MLP,MLS,0.9385653716362378,0.0035382884831703814,0.9980098641515964,0.4092747095255157,0.2573212331852996,MLP + MLS
DDos,MLP,Energy,0.9385653716362378,0.0035340702604482214,0.9980098641515964,0.4092747095255157,0.2573212331852996,MLP + Energy
DDos,MLP,ViM,0.9385653716362378,0.9993480358224451,0.00034611058233105475,0.9968824042898117,0.9945260014929087,MLP + ViM
DDos,RandomForest,MSP,0.9821753050099506,0.9927192610539068,0.008739292203859134,0.9839506172839505,0.9719512195121951,RandomForest + MSP
DDos,RandomForest,Entropy,0.9821753050099506,0.9974732413256034,0.0036341611144760752,0.9894554025555142,0.9820241319871953,RandomForest + Entropy
DDos,XGBoost,MSP,0.9847711343774336,0.9892312343168642,0.011335121571342043,0.976021531685833,0.9556780067081936,XGBoost + MSP
DDos,XGBoost,Entropy,0.9847711343774336,0.9899416479190102,0.010383317469931643,0.9818853974121997,0.9681652490886998,XGBoost + Entropy
DDos,IsolationForest,AnomalyScore,,0.8603827117764125,0.13982867526174614,0.8293597084851639,0.7106155218554862,IsolationForest + AnomalyScore
DDos,OneClassSVM,AnomalyScore,,0.9965542960976033,0.003114995240979493,0.9938986427593076,0.9900769039940461,OneClassSVM + AnomalyScore
BruteForce,MLP,Mahalanobis,0.9491978609625669,0.9170118582765012,0.2792207792207792,0.19067357512953365,0.10555300596603946,MLP + Mahalanobis
BruteForce,MLP,MLS,0.9491978609625669,0.85541114635459,0.40595874713521773,0.16550657385924206,0.09096705632306057,MLP + MLS
BruteForce,MLP,Energy,0.9491978609625669,0.8581502135602148,0.4053475935828877,0.16483728095513192,0.090562843842573,MLP + Energy
BruteForce,MLP,ViM,0.9491978609625669,0.9123379077151592,0.27624140565317035,0.1967562953478446,0.10926759895709884,MLP + ViM
BruteForce,RandomForest,MSP,0.9857142857142858,0.9877399587438636,0.034224598930481284,0.5993399339933994,0.43320610687022904,RandomForest + MSP
BruteForce,RandomForest,Entropy,0.9857142857142858,0.9905334997538046,0.03307868601986249,0.5969756738987508,0.4307400379506641,RandomForest + Entropy
BruteForce,XGBoost,MSP,0.9877005347593583,0.9650603710434924,0.10939648586707411,0.35850556438791736,0.22010736944851148,XGBoost + MSP
BruteForce,XGBoost,Entropy,0.9877005347593583,0.967021264413883,0.10618792971734148,0.38591916558018247,0.2420937840785169,XGBoost + Entropy
BruteForce,IsolationForest,AnomalyScore,,0.8984888017889656,0.33735676088617267,0.2177240187607998,0.123046875,IsolationForest + AnomalyScore
BruteForce,OneClassSVM,AnomalyScore,,0.7136482235487147,0.9441558441558442,0.3131201764057332,0.21083890126206384,OneClassSVM + AnomalyScore
