Model,ID Acc,AUROC,FPR95,F1,Precision
RandomForest + Entropy,0.9851,0.9477,0.3261,0.7731,0.6828
RandomForest + MSP,0.9851,0.9443,0.327,0.7727,0.6824
XGBoost + Entropy,0.9876,0.8864,0.2614,0.6714,0.5559
XGBoost + MSP,0.9876,0.8853,0.2643,0.6662,0.5501
MLP + Mahalanobis,0.9468,0.8512,0.2954,0.5995,0.4925
MLP + ViM,0.9468,0.815,0.3678,0.5743,0.4752
IsolationForest + AnomalyScore,,0.7674,0.4211,0.5502,0.4185
OneClassSVM + AnomalyScore,,0.6116,0.7115,0.5099,0.4898
MLP + Energy,0.9468,0.5169,0.6987,0.4182,0.3291
MLP + MLS,0.9468,0.5163,0.6989,0.413,0.338
